Feature,ANOVA_F,ANOVA_p,Partial_Eta_Sq,Kruskal_H,Kruskal_p,Epsilon_Sq,Cohen_d,Mean_Control,Mean_MCI,SD_Control,SD_MCI,ANOVA_p_FDR,ANOVA_p_Bonferroni
interjections,1.4619374624509245,0.2275805244430634,0.004881880731951899,2.8899256755186835,0.08913503747221867,0.006342032468183502,0.14635685539174467,1.4512820512820512,1.2571428571428571,1.300846630513944,1.3730130498887603,0.518075663202379,1.0
interjections_rate,1.465472517269978,0.22702065098511676,0.004893627652468235,1.3349251869113394,0.2479309083720112,0.0011239100231924142,0.14653369849684586,0.011947247139861525,0.010271105028740127,0.011806386007259535,0.01071890114483495,0.518075663202379,1.0
determiners,2.2423976491456585,0.13533106640828002,0.007468624240624597,1.0640022527296826,0.302304135663517,0.00021477266016672024,0.18126125678402819,17.26153846153846,15.19047619047619,12.108968632062599,10.027937166213388,0.4704483840482125,1.0
determiners_rate,0.009271308765983763,0.92335685178604,3.1110806470105796e-05,0.11640243857927282,0.7329695721914052,-0.0029650924879890176,0.011655185621969022,0.12244958012522637,0.12208990275416806,0.029380385928411332,0.033445192335203065,0.9779634746971538,1.0
conjunctions,0.023514775951851037,0.8782297772998888,7.890241805090013e-05,0.3106024604420686,0.5773107266724592,-0.0023134145622749377,0.018561757507988278,8.507692307692308,8.39047619047619,6.053344675508535,6.775940522419744,0.9779634746971538,1.0
conjunctions_rate,1.8427601725692164,0.1756548996734224,0.006145755100135312,2.198171891388226,0.13817451933530342,0.004020711044926933,-0.16431722079147154,0.060449914774375904,0.0644318329123304,0.022367305073456245,0.027375800737035827,0.501871141924064,1.0
prepositions,1.9743485836586214,0.16102862352041,0.006581724714065005,1.9192044718617158,0.16594438540144196,0.00308457876463663,0.1700828750225913,12.697435897435897,11.276190476190477,8.70689640100765,7.659201653133958,0.48308587056123004,1.0
prepositions_rate,0.16961156739816757,0.6807533195167822,0.0005688425675123543,0.29921112737602124,0.5843773961622214,-0.0023516405121610027,0.0498512905617198,0.09014726083442803,0.08881659459594969,0.026437953534248167,0.027161554806445803,0.880811097911619,1.0
auxiliary_verbs,0.1294656662141908,0.7192415569322711,0.00043425988076985597,0.1078759061668756,0.7425754670850941,-0.0029937050128628333,0.04355379246751269,11.282051282051283,10.961904761904762,7.332840682272008,7.383614668153097,0.880811097911619,1.0
auxiliary_verbs_rate,1.6423352036780738,0.20100161798003427,0.005480985197107468,2.8934501842772846,0.08894027243041817,0.0063538596787828345,-0.15512420658237255,0.08192855559251093,0.08600083668586975,0.02537341893800118,0.027816138942279543,0.518075663202379,1.0
particles,0.9525241074503509,0.32986923089606324,0.003186205268860647,0.5992623367024275,0.43885961652941463,-0.0013447572593878274,0.11813719642330979,4.343589743589743,3.980952380952381,3.168774428263055,2.8755633306996504,0.5821221721695233,1.0
particles_rate,0.0059881321047704755,0.9383707767064268,2.0093999259221628e-05,0.10526171415768776,0.7456044731675935,-0.0030024774692695043,0.009366867103642026,0.03371162083477976,0.03352368089997294,0.020067323826426908,0.020058750952872056,0.9779634746971538,1.0
numbers,1.3480049512406018,0.2465563812943862,0.004503136579982128,0.23526009361090847,0.6276506830756208,-0.00256624129660769,0.140538209382949,1.6871794871794872,1.4476190476190476,1.8499344495463323,1.3935355725425138,0.5283351027736847,1.0
numbers_rate,0.12471503287845026,0.7242255520318757,0.0004183317470498764,0.02023230898562806,0.8868901838192581,-0.0032878110436723893,0.042747239549022896,0.013567800602184822,0.01295774093098842,0.014783367610179938,0.01326343822787355,0.880811097911619,1.0
ocw,3.8176774424980477,0.051649756419623175,0.01264895242335627,3.193521116941829,0.07393060981024693,0.00736080911725446,0.23650933559618148,62.1025641025641,53.180952380952384,40.4362772663939,32.050375298528984,0.23838349116749158,1.0
ccw,0.6556930364730531,0.4187306970528889,0.0021954814582857422,0.6293978124247217,0.42757628629450695,-0.001243631501930464,0.09801644748524187,77.42564102564103,72.79047619047618,48.023924009738664,45.888597385008076,0.6611537321887719,1.0
content_density,5.294052419241102,0.02208859955955875,0.017455180465996024,9.739727123345775,0.0018032766555072547,0.02932794336693213,0.27851128094792565,0.8142117150641414,0.7661157673697473,0.16656808825192385,0.18356328801293548,0.22198036921213382,1.0
open_class_words_rate,7.84062297831077,0.005442202875108526,0.025636303320199436,9.739727123345775,0.0018032766555072547,0.02932794336693213,0.3389408838708184,0.44472288355484246,0.42827487946868714,0.04526797061870849,0.05408569042523503,0.16326608625325578,0.32653217250651156
lexical_diversity,0.02238368521899504,0.8811721162446572,7.510739610295734e-05,0.07595004434954572,0.7828627176807516,-0.0031008387773505176,0.018109833897492635,0.4569810015230688,0.4554575830363662,0.08372745194654371,0.084850420677364,0.9779634746971538,1.0
ttr,0.8571464882452504,0.3552876047956841,0.002868080948765124,0.9598039524208763,0.32723627677718636,-0.0001348860657017572,-0.1120666003084426,0.8226517854501041,0.8337970555624029,0.10011689121024095,0.09820027626668514,0.5920577306874463,1.0
brunets_index,3.9018661301050837,0.049155038603646686,0.01292428622625195,3.125737235407765,0.07706500587727307,0.007133346427542835,0.23910290610634433,21.784354533775517,19.77305488067593,8.872978961809567,7.476060735121381,0.23838349116749158,1.0
honore_statistic,2.059441621979755,0.15231427559084926,0.006863445492157765,1.9961197790284215,0.15770247087872194,0.0033426838222430253,0.17370943791347712,2912.523593451005,2373.778583761391,3223.8720536794954,2859.0012312226745,0.4809924492342608,1.0
hypernym_count,0.30524093788632556,0.5810294743743181,0.0010232503355512175,0.2516480396348945,0.6159170253254687,-0.002511248189144649,0.066875964997194,5.371491592561644,5.341694529220843,0.4533856577526852,0.4305737021064589,0.8578410857753503,1.0
lexical_sophistication,0.2140334595062122,0.643961850922521,0.0007177175970669774,0.2976827163513209,0.5853388095981261,-0.002356769408217044,-0.056000190934552586,0.9008947071606911,0.902933765072407,0.03512946403947164,0.03868995704152865,0.8728755047839942,1.0
lexical_density,8.924291020071903,0.0030479069652104935,0.029076522390625404,9.118676269559028,0.0025301297808592643,0.02724388009919137,0.361605921943954,0.35387908668269186,0.3406433445473062,0.03552834918543136,0.038526711647343635,0.16326608625325578,0.18287441791262962
function_word_count,0.8503006334220689,0.35721325093148687,0.002845239344313293,0.5966270230232549,0.43986787119822846,-0.001353600593881695,0.1116181765642025,64.45128205128205,59.923809523809524,41.80331259869438,38.13909140292009,0.5920577306874463,1.0
syntactic_complexity,2.7085185362759217,0.10086789994319795,0.009007122742847054,2.9028969968662865,0.08842051154246452,0.0063855603921687465,-0.19921157917844104,0.7856971270817414,0.8018876177932042,0.0814941283331298,0.08085843237241978,0.4034715997727918,1.0
dependent_clauses_per_sentence,0.20048294275612347,0.6546566285879957,0.0006723092490585001,1.1870710113302219,0.275921165131924,0.0006277550715779257,0.05419851487579506,0.7204598926555388,0.7012132611568874,0.33007230993358383,0.39763285943064114,0.8728755047839942,1.0
passive_voice_count,5.075906617435315,0.024987737154278444,0.016747971404544856,5.096907540774655,0.023968538744391175,0.013748011881794146,0.27271277588503323,2.164102564102564,1.380952380952381,3.0953479543499705,2.399442853523711,0.22198036921213382,1.0
passive_voice_rate,4.046720850937124,0.04515717647039192,0.013397665233830559,4.976533160183469,0.02569342163687778,0.013344071007327077,0.24350074579052924,0.012068920397377992,0.008144924299945532,0.017015049812071154,0.014285058749478453,0.23838349116749158,1.0
ref_r_real,0.055240597399556335,0.8143443981954226,0.0001853367761252476,0.39086899917528006,0.5318429723011715,-0.0020440637611567783,-0.028449710762753853,1.8849985977973858,1.9018234459364465,0.5315307704535318,0.689293026837317,0.9580522331710855,1.0
mean_sentence_length,0.0023141757708877724,0.9616640834522012,7.765630200855951e-06,0.025305910554010186,0.8736071721524297,-0.003270785535053657,0.005823000712896496,10.251614670690719,10.238067913458758,2.3433527282748683,2.2945059630394327,0.9779634746971538,1.0
std_sentence_length,0.0007598767147535642,0.9780268608525493,2.5499153595042043e-06,0.01870006378592098,0.8912298478264893,-0.0032929528060875136,-0.0033367236562673133,6.0972867224833,6.105749041276548,2.5280428776755097,2.5511076637573877,0.9780268608525493,1.0
syllables,2.2035429757322005,0.13875090074348864,0.007340163123625511,1.7023237073023658,0.19198436705943617,0.0023567909641018987,0.17968401143889265,155.73846153846154,139.25714285714287,96.20879521110038,82.71045750217914,0.4704483840482125,1.0
reading_time,2.177094032253221,0.14113451521446374,0.0072526987419609555,1.6696244545684864,0.19630884322256148,0.002247061928082169,0.1786023898479184,7.7826113333333335,6.951028190476191,4.8861636558261905,4.19321163545543,0.4704483840482125,1.0
dale_chall,1.4411798185770182,0.2309019305758127,0.004812897876805745,1.7186406689194622,0.18986811477612303,0.002411545868857256,0.14531410054767072,6.941710103303562,6.839337999067245,0.684949434478002,0.7395578862581277,0.518075663202379,1.0
flesch,0.822777350088901,0.3651022672572586,0.0027533956995688183,0.3795361295795363,0.5378515965276471,-0.002082093524900885,-0.10979683870152646,84.69180544031909,85.39311278511794,6.633483888446227,5.900742598026173,0.5920577306874463,1.0
coleman_liau_index,1.2261884460742905,0.269042585086905,0.004097864737181141,0.9297094049373054,0.3349384474073648,-0.0002358744800761565,0.1340377971991913,4.525624170601413,4.341394824173172,1.3987864435817596,1.327885942463133,0.53808517017381,1.0
automated_readability_index,0.3527364458945009,0.5530187333692088,0.001182279908327467,0.23377464944615267,0.6287389983596676,-0.002571226008569957,0.0718908865819987,0.46893336358363497,0.3285518238027487,1.9817289058131748,1.8973717791999771,0.8507980513372443,1.0
gunning_fog,0.01229397337022557,0.9117875779709917,4.125324229518169e-05,0.009405062887833644,0.9227425127360706,-0.0033241440842690143,0.013421306864535753,5.030538505731418,5.0127423713830455,1.3239199469670206,1.329761014658478,0.9779634746971538,1.0
polarity,4.856296513247921,0.028310046847486385,0.01603498612760554,8.846621651652933,0.0029363188931048963,0.026330945139774943,0.2667480602865487,0.08763504691635958,0.04553722241570831,0.16470236484533649,0.144101789384806,0.22198036921213382,1.0
subjectivity,1.114393464967522,0.29198397246939756,0.0037256430627035414,0.19162281625725971,0.6615693799162048,-0.002712675113230672,0.12778149074421413,0.4142244869713505,0.39303971672059246,0.1501643003765175,0.1915589353146232,0.5651302692956082,1.0
disfluencies,1.2902669263244968,0.2569114542785456,0.004311088828832906,0.9473852353779183,0.33038575736113907,-0.00017655961282577788,0.13749549050611234,13.476923076923077,12.314285714285715,8.80389035194691,7.7649536698235035,0.5315409398866461,1.0
cohesion_score,0.1570567461952456,0.6921645014905565,0.0005267584403643332,0.2803092110202584,0.5964986204959577,-0.0024150697616769847,0.0479708009777874,0.02515461729781253,0.024067411093763577,0.02220530151190643,0.023495496677849184,0.880811097911619,1.0
personal_deixis_rate,6.7045493973304495,0.010088818833019686,0.02200344369846556,6.696665497092031,0.009659339307959607,0.01911632717144977,-0.313424880960083,0.10106132603014532,0.11181641716330293,0.03460211000068755,0.03377212993090253,0.2017763766603937,0.6053291299811812
spatial_deixis_rate,0.04012812958607451,0.8413669072519954,0.0001346400225966534,0.00019471600452009334,0.9888666261550985,-0.0033550512885754356,0.02424784408258066,0.060513289313825026,0.059929993594041345,0.02432571571407105,0.023543362727360864,0.9708079699061485,1.0
temporal_deixis_rate,0.2858345922638995,0.5933009323813383,0.0009582573461948536,0.2830895938579785,0.5946833010518983,-0.0024057396179262467,-0.06471516540891552,0.002121522053305001,0.002426735585349875,0.00443914289560598,0.005193823718566902,0.8578410857753503,1.0
past_tense_rate,1.5866243206911046,0.20879471754230228,0.005296045256655763,1.6970940479276133,0.19266845116799453,0.002339241771569172,0.1524704653170866,0.041865616663531224,0.03466525569412088,0.04856923858268596,0.04460822487788629,0.518075663202379,1.0
present_tense_rate,1.0113179013746332,0.315403180904049,0.0033822060933098625,1.2921567815162525,0.2556508634527004,0.0009803918842827264,-0.12172856981327744,0.9256128160803327,0.9332538699047719,0.062139980190418026,0.06393213947583223,0.5744818927123488,1.0
future_tense_rate,1.4274318022829537,0.23313404844107055,0.004767204506584793,2.268932639664321,0.13199077865285108,0.00425816322035007,0.14461933370680952,0.0011191143742314848,0.00038095238095238096,0.005643582855404145,0.0039036002917941333,0.518075663202379,1.0
